Country Name,Country Code,Population 2010,Population 2020
Sao Tome and Principe,STP,181802,217435
Suriname,SUR,549923,612317
Slovak Republic,SVK,5391428,5458827
Slovenia,SVN,2048583,2102419
Sweden,SWE,9378126,10353442
Eswatini,SWZ,1111650,1192729
Sint Maarten (Dutch part),SXM,33794,41008
Seychelles,SYC,89770,98462
Syrian Arab Republic,SYR,22482421,21049429
Turks and Caicos Islands,TCA,29739,44386
Chad,TCD,12312575,17224679
Togo,TGO,6732590,8669720
Thailand,THA,68579447,71641484
Tajikistan,TJK,7652141,9749310
Turkmenistan,TKM,5564356,6949912
Timor-Leste,TLS,1084679,1326053
Tonga,TON,107400,105704
Trinidad and Tobago,TTO,1317714,1366725
Tunisia,TUN,10765980,11974057
Turkiye,TUR,73142150,83384680
Tuvalu,TUV,10614,10399
Tanzania,TZA,44758488,60972798
Uganda,UGA,32390802,44457152
Ukraine,UKR,46456003,44680014
Uruguay,URY,3318580,3398968
United States,USA,309378227,331577720
Uzbekistan,UZB,28385506,33586372
St. Vincent and the Grenadines,VCT,109959,103526
"Venezuela, RB",VEN,28813101,28444077
British Virgin Islands,VGB,27675,37135
Virgin Islands (U.S.),VIR,108357,106290
Viet Nam,VNM,87455152,98079191
Vanuatu,VUT,238248,298858
Samoa,WSM,193023,211944
Kosovo,XKX,1788743,1790151
"Yemen, Rep.",YEM,26754387,36134863
South Africa,ZAF,52344051,60562381
Zambia,ZMB,13965594,19059395
Zimbabwe,ZWE,13356548,15526888
